[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
1475 MECASLIN ST NW,1475 MECASLIN ST NW,Atlanta,,278,
1495 CHATTAHOOCHEE AVE NW,1495 CHATTAHOOCHEE AVE NW,Atlanta,,135,
15 JAMES P BRAWLEY DR,15 JAMES P BRAWLEY DR,Atlanta,,128,
150 PEYTON PL SW,150 PEYTON PL SW,Atlanta,,208,
150 RENAISSANCE PKY NE,150 RENAISSANCE PKY NE,Atlanta,,153,
150 ROCKBERRY LN,150 ROCKBERRY LN,Atlanta,,344,
1500 HARBOR LANDING DR,1500 HARBOR LANDING DR,Atlanta,,300,
1500 HUNTCLIFF VILLAGE CT,1500 HUNTCLIFF VILLAGE CT,Atlanta,,358,
1500 MARKET PL,1500 MARKET PL,Atlanta,,122,
15000 PARKVIEW LN,15000 PARKVIEW LN,Atlanta,,352,
155 CENTENNIAL OLYMPIC PARK DR NW,155 CENTENNIAL OLYMPIC PARK DR NW,Atlanta,,104,
155 WALTON ST NW,155 WALTON ST NW,Atlanta,,212,
160 SPRING ST NW,160 SPRING ST NW,Atlanta,,312,
1600 HOLCOMB BRIDGE RD,1600 HOLCOMB BRIDGE RD,Atlanta,,664,
1600 THOMASVILLE BLVD SE,1600 THOMASVILLE BLVD SE,Atlanta,,135,
161 PEACHTREE CENTER AVE,161 PEACHTREE CENTER AVE,Atlanta,,345,
161 TED TURNER DR NW,161 TED TURNER DR NW,Atlanta,,119,
1616 PIEDMONT AVE NE,1616 PIEDMONT AVE NE,Atlanta,,269,
1620 HOLLYWOOD RD NW,1620 HOLLYWOOD RD NW,Atlanta,,216,
1625 NORTHSIDE DR NW,1625 NORTHSIDE DR NW,Atlanta,,800,
1634 HOLLYWOOD RD NW,1634 HOLLYWOOD RD NW,Atlanta,,288,
165 CENTENNIAL OLYMPIC PARK DR,165 CENTENNIAL OLYMPIC PARK DR,Atlanta,,210,
165 COURTLAND ST NE,165 COURTLAND ST NE,Atlanta,,763,
1650 STATE RD,1650 STATE RD,Atlanta,,130,
166 PRYOR ST SW,166 PRYOR ST SW,Atlanta,,126,
